PCE_max,Voc ,Jsc ,FF,HOMO ,LUMO ,Bandgap,Eloss,Nickname,smiles
2.4,0.96,3.7,0.6,5.47,3.65,1.87,0.91,PCDTBX,CCCCCCCCC(CCCCCCCC)n1c2cc(C)ccc2c2ccc(-c3ccc(-c4ccc(-c5ccc(C)s5)c5nccnc45)s3)cc21
0.8,0.85,1.4,0.6,5.55,3.93,1.67,0.82,PCDTPX,CCCCCCCCC(CCCCCCCC)n1c2cc(C)ccc2c2ccc(-c3ccc(-c4cnc(-c5ccc(C)s5)c5nonc45)s3)cc21
0.47,0.82,1.52,0.38,5.7,4.15,1.57,0.75,P1,CCCCCCCCC(CCCCCCCC)n1c2cc(C)ccc2c2ccc(-c3ccc(-c4nnc(-c5ccc(C)s5)c5nonc45)s3)cc21
0.13,0.66,0.55,0.35,5.73,3.88,1.91,1.25,P2,CCCCCCCCC(CCCCCCCC)n1c2cc(C)ccc2c2ccc(-c3ccc(-c4nnc(-c5ccc(C)s5)c5nccnc45)s3)cc21
0.37,0.91,0.86,0.44,5.76,3.99,1.79,0.88,P3,CCCCCCCCc1nc2c(-c3ccc(C)s3)nnc(-c3ccc(-c4ccc5c6ccc(C)cc6n(C(CCCCCCCC)CCCCCCCC)c5c4)s3)c2nc1CCCCCCCC
3.05,0.8,7.66,0.5,5.48,3.46,1.72,0.92,PC-DTBT,CCCCCCCCCCC(CCCCCCCCCC)n1c2cc(C)ccc2c2ccc(-c3ccc(-c4ccc(-c5ccc(C)s5)c5nsnc45)s3)cc21
1.02,0.56,4.41,0.41,5.24,3.45,1.57,1.01,TP3,CCCCCCCCCCC(CCCCCCCCCC)n1c2cc(C)ccc2c2ccc(-c3ccc(-c4sc(-c5ccc(C)s5)c5nc(C)c(C)nc45)s3)cc21
0.9,0.62,3.94,0.37,5.23,3.55,1.46,0.84,TP4,CCCCCCCCCCC(CCCCCCCCCC)n1c2cc(C)ccc2c2ccc(-c3ccc(-c4sc(-c5ccc(C)s5)c5nc(-c6ccccc6)c(-c6ccccc6)nc45)s3)cc21
2.67,1.02,5.12,0.51,5.56,3.47,1.85,0.83,PF-DTBT,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(C)ccc2-c2ccc(-c3ccc(-c4ccc(-c5ccc(C)s5)c5nsnc45)s3)cc21
1.37,0.6,3.97,0.57,5.26,3.45,1.61,1.01,TP1,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(C)ccc2-c2ccc(-c3ccc(-c4sc(-c5ccc(C)s5)c5nc(C)c(C)nc45)s3)cc21
0.89,0.64,4.07,0.34,5.27,3.53,1.55,0.91,TP2,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(C)ccc2-c2ccc(-c3ccc(-c4sc(-c5ccc(C)s5)c5nc(-c6ccccc6)c(-c6ccccc6)nc45)s3)cc21
1.47,0.94,3.77,0.41,5.45,3.55,1.91,0.97,PIC-DTBT,CCCCCCCCCCC(CCCCCCCCCC)n1c2cc(C)ccc2c2cc3c(cc21)c1ccc(-c2ccc(-c4ccc(-c5ccc(C)s5)c5nsnc45)s2)cc1n3C(CCCCCCCCCC)CCCCCCCCCC
0.84,0.68,2.55,0.49,5.3,3.47,1.65,0.97,TP5,CCCCCCCCCCC(CCCCCCCCCC)n1c2cc(C)ccc2c2cc3c(cc21)c1ccc(-c2ccc(-c4sc(-c5ccc(C)s5)c5nc(C)c(C)nc45)s2)cc1n3C(CCCCCCCCCC)CCCCCCCCCC
1.27,0.7,3.94,0.46,5.32,3.59,1.51,0.81,TP6,CCCCCCCCCCC(CCCCCCCCCC)n1c2cc(C)ccc2c2cc3c(cc21)c1ccc(-c2ccc(-c4sc(-c5ccc(C)s5)c5nc(-c6ccccc6)c(-c6ccccc6)nc45)s2)cc1n3C(CCCCCCCCCC)CCCCCCCCCC
0.61,0.41,5.16,0.29,4.8,3.7,1.1,0.69,P3,CCCCCCC(CCCC)COc1ccc(N(c2ccc(OCC(CCCC)CCCCCC)cc2)c2ccc(-n3c4cc(C)ccc4c4ccc(-c5ccc(-c6c7nsnc7c(-c7ccc(C)s7)c7nc(-c8ccccc8)c(-c8ccccc8)nc67)s5)cc43)cc2)cc1
4.7,0.65,11.8,0.6,5.17,3.61,1.3,0.65,PDPP3T,CCCCCCCCC(CCCCCC)CN1C(=O)C2=C(c3ccc(-c4ccc(C)s4)s3)N(CC(CCCCCC)CCCCCCCC)C(=O)C2=C1c1ccc(C)s1
3.2,0.8,8.6,0.47,5.4,3.9,1.57,0.77,PCBTDPP,CCCCCCCCC(CCCCCCCC)n1c2cc(C)ccc2c2ccc(-c3ccc(C4=C5C(=O)N(CCCCCCCC)C(c6ccc(C)s6)=C5C(=O)N4CCCCCCCC)s3)cc21
3.8,0.77,9.1,0.55,5.4,3.9,1.58,0.81,PCBTDPP,CCCCCCCCCCC(CCCCCCCCCC)n1c2cc(C)ccc2c2ccc(-c3ccc(C4=C5C(=O)N(CCCCCCCCCC)C(c6ccc(C)s6)=C5C(=O)N4CCCCCCCCCC)s3)cc21
1.5,0.76,4.1,0.62,5.38,3.7,1.63,0.87,PGFDTDPP (C4),CCCCCCCCN1C(=O)C2=C(c3ccc(-c4ccc5c(c4)-c4ccc(C)cc4[Ge]5(CCCC)CCCC)s3)N(CCCCCCCC)C(=O)C2=C1c1ccc(C)s1
1.2,0.76,2.8,0.56,5.38,3.64,1.64,0.88,PGFDTDPP (C8),CCCCCCCCN1C(=O)C2=C(c3ccc(-c4ccc5c(c4)[Ge](CCCCCCCC)(CCCCCCCC)c4cc(C)ccc4-5)s3)N(CCCCCCCC)C(=O)C2=C1c1ccc(C)s1
2.8,0.79,6.9,0.51,5.38,3.91,1.79,1,PGFDTBT,CCCCCCCC[Ge]1(CCCCCCCC)c2ccc(-c3ccc(-c4ccc(-c5ccc(C)s5)c5nsnc45)s3)cc2-c2ccc(C)cc21
2.26,0.76,5.35,0.56,5.42,3.64,1.63,0.87,PC-DTDPP,CCCCCCCCCCC(CCCCCCCCCC)n1c2cc(C)ccc2c2ccc(-c3ccc(C4=C5C(=O)N(CC(CC)CCCC)C(c6ccc(C)s6)=C5C(=O)N4CC(CC)CCCC)s3)cc21
0.88,0.74,2.51,0.47,5.35,3.66,1.75,1.01,PF-DTDPP,CCCCCCCCN1C(=O)C2=C(c3ccc(-c4ccc5c(c4)C(CCCCCCCC)(CCCCCCCC)c4cc(C)ccc4-5)s3)N(CCCCCCCC)C(=O)C2=C1c1ccc(C)s1
1.12,0.44,4.47,0.57,5.02,3.64,1.13,0.69,PDTP-DTDPP,CCCCC(CC)CC(C[C@H](CC)CCCC)n1c2cc(C)sc2c2sc(-c3ccc(C4=C5C(=O)N(C[C@H](CC)CCCC)C(c6ccc(C)s6)=C5C(=O)N4C[C@H](CC)CCCC)s3)cc21
2.71,0.38,14.87,0.48,4.9,3.63,1.13,0.75,PDTP-DTDPP(Bu),CCCCC(CC)CC(C[C@H](CC)CCCC)n1c2cc(C)sc2c2sc(-c3ccc(C4=C5C(=O)N(CCCC)C(c6ccc(C)s6)=C5C(=O)N4CCCC)s3)cc21
2.1,0.55,7.5,0.51,5.04,3.47,1.29,0.74,PDPP-DTS,CCCCC(CC)CN1C(=O)C2=C(c3ccc(-c4cc5c(s4)-c4sc(C)cc4[Si]5(CC(CC)CCCC)CC(CC)CCCC)s3)N(CC(CC)CCCC)C(=O)C2=C1c1ccc(C)s1
2.53,0.68,8.4,0.44,5.16,3.51,1.31,0.63,PDPP-BDT,CCCCCCCCOc1c2cc(-c3ccc(C4=C5C(=O)N(CC(CC)CCCC)C(c6ccc(C)s6)=C5C(=O)N4CC(CC)CCCC)s3)sc2c(OCCCCCCCC)c2cc(C)sc12
4.31,0.68,10.1,0.63,5.21,3.63,1.34,0.66,PDPP-BDP,CCCCCC(CC)c1c(C(CC)CCCCC)c2cc(-c3ccc(C4=C5C(=O)N(CC(CC)CCCC)C(c6ccc(C)s6)=C5C(=O)N4CC(CC)CCCC)s3)sc2c2sc(C)cc12
2.43,0.65,8.05,0.46,5.17,3.62,1.29,0.64,P4TDPP,CCCCC(CC)CN1C(=O)C2=C(c3ccc(-c4sc(-c5cc(-c6ccc(C[C@H](CC)CCCC)s6)c(C)s5)cc4-c4ccc(C[C@@H](CC)CCCC)s4)s3)N(CC(CC)CCCC)C(=O)C2=C1c1ccc(C)s1
1.39,0.9,4.71,0.33,5.52,3.24,1.88,0.98,P4TBT,CCCCC(CC)Cc1ccc(-c2cc(-c3cc(-c4ccc(C[C@@H](CC)CCCC)s4)c(-c4ccc(C)c5nsnc45)s3)sc2C)s1
1.28,0.57,6.28,0.36,5.04,3.38,1.6,1.03,P4TDTBT,CCCCC(CC)Cc1ccc(-c2cc(-c3cc(-c4ccc(C[C@@H](CC)CCCC)s4)c(-c4ccc(-c5ccc(-c6ccc(C)s6)c6nsnc56)s4)s3)sc2C)s1
1.29,0.69,5.39,0.35,5.28,3.22,1.83,1.14,P4TPDTQ,CCCCC(CC)COc1ccc(-c2nc3c(-c4ccc(C)s4)ccc(-c4ccc(-c5sc(-c6cc(-c7ccc(CC(CC)CCCC)s7)c(C)s6)cc5-c5ccc(C[C@@H](CC)CCCC)s5)s4)c3nc2-c2ccc(OCC(CC)CCCC)cc2)cc1
2.27,0.47,10.87,0.45,4.95,3.31,1.31,0.84,PCTDPP,CCCCCCCCC1(CCCCCCCC)c2cc(C)sc2-c2sc(-c3ccc(C4=C5C(=O)N(CC(CC)CCCC)C(c6ccc(C)s6)=C5C(=O)N4CC(CC)CCCC)s3)cc21
5.6,0.56,15.6,0.63,4.9,3.2,1.58,1.02,PTB1,CCCCCCCCCCCCOC(=O)c1cc2c(C)sc(-c3cc4c(OCCCCCCCC)c5sc(C)cc5c(OCCCCCCCC)c4s3)c2s1
6.58,0.7,14.7,0.64,5.12,3.55,1.61,0.91,PBDTTT-C,CCCCC(CC)COc1c2cc(-c3sc(C)c4sc(C(=O)C(CC)CCCC)cc34)sc2c(OCC(CC)CCCC)c2cc(C)sc12
3.64,0.68,9.85,0.54,5.15,2.95,1.59,0.91,PDTT,CCCCCCCCC(CCCCCC)COc1c2sc3cc(-c4sc(C)c5sc(C(=O)CC(CC)CCCC)cc45)sc3c2c(OCC(CCCCCC)CCCCCCCC)c2sc3cc(C)sc3c12
3.42,0.93,6.58,0.56,5.42,3.6,1.84,0.91,PBDTDPT1,C#CC#CC#CC#CC#CC(CCCCCCCC)CN1C(=O)c2c(C)sc(-c3cc4c(OCCCCCCCCCCCC)c5sc(C)cc5c(OCCCCCCCCCCCC)c4s3)c2C1=O.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH]
4.79,0.91,10.34,0.51,5.44,3.58,1.84,0.93,PBDTDPT2,C#CC#CC#CC#CC#CC(CCCCCCCC)CN1C(=O)c2c(C)sc(-c3cc4c(OCC(CC)CCCC)c5sc(C)cc5c(OCC(CC)CCCC)c4s3)c2C1=O.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH]
1.54,0.41,7.39,0.48,4.85,3.35,1.5,1.09,P1,CCCCCCCCCCCCOc1cc(-c2cc(OCCCCCCCCCCCC)c(-c3sc(C)c4c3C(=O)N(CCCCCCCCCCCC)C4=O)s2)sc1C
0.64,0.59,1.59,0.54,5.05,3.53,1.5,0.91,P2,CCCCCCCCCCCCOc1cc(-c2cc(OCCCCCCCCCCCC)c(-c3sc(C)c4c3C(=O)N(CC(CCCC)CCCCCC)C4=O)s2)sc1C
3.15,0.76,8.12,0.5,5.26,3.59,1.67,0.91,P3,CCCCCCCCCCCCN1C(=O)c2c(C)sc(-c3cc4c(s3)-c3sc(C)cc3C4(CCCCCCCC)CCCCCCCC)c2C1=O
7.3,0.88,12.2,0.68,5.57,3.88,1.69,0.81,PDTSTPD,CCCCCCCCN1C(=O)c2c(C)sc(-c3cc4c(s3)-c3sc(C)cc3[Si]4(CC(CC)CCCC)CC(CC)CCCC)c2C1=O
0.25,0.56,1.16,0.38,5.07,3.04,2.03,1.47,H3,C/C=C/c1cc2c(OCCCCCCCCCCCC)c3sc(C)cc3c(OCCCCCCCCCCCC)c2s1
1.6,0.75,3.78,0.56,5.05,2.99,2.06,1.31,H6,CCCCCCCCCCCCOc1c2cc(-c3ccc(C)s3)sc2c(OCCCCCCCCCCCC)c2cc(C)sc12
0.36,0.37,2.46,0.4,4.56,2.59,1.97,1.6,H8,CCCCCCCCCCCCOc1c2cc(-c3sc(C)c4c3OCCO4)sc2c(OCCCCCCCCCCCC)c2cc(C)sc12
0.23,0.6,1.54,0.26,4.78,3.15,1.63,1.03,H1,CCCCCCCCCCCCOc1c2cc(-c3ccc(C)c4nc(-c5ccccc5)c(-c5ccccc5)nc34)sc2c(OCCCCCCCCCCCC)c2cc(C)sc12
0.9,0.68,2.97,0.44,5.1,3.4,1.7,1.02,H7,CCCCCCCCCCCCOc1c2cc(-c3ccc(C)c4nsnc34)sc2c(OCCCCCCCCCCCC)c2cc(C)sc12
0.11,0.22,1.41,0.35,4.65,3.6,1.05,0.83,H9,CCCCCCCCCCCCOc1c2cc(-c3sc(C)c4nccnc34)sc2c(OCCCCCCCCCCCC)c2cc(C)sc12
0.18,0.55,1.05,0.32,4.88,3.36,1.52,0.97,H11,CCCCCCCCCCCCOc1c2cc(-c3ccc(C)c4n[se]nc34)sc2c(OCCCCCCCCCCCC)c2cc(C)sc12
9.4,0.92,15.4,0.64,5.45,3.7,1.75,0.83,PBDT-BT,CCCCCCc1cc(-c2c3cc(-c4ccc(C)c5nsnc45)sc3c(-c3cc(CCCCCC)c(CC(CC)CCCC)s3)c3cc(C)sc23)sc1CC(CC)CCCC
5.5,0.85,9.81,0.66,5.56,3.76,1.8,0.95,PBDTPTD,CCCCCCCCN1C(=O)c2c(C)sc(-c3cc4c(OCC(CC)CCCC)c5sc(C)cc5c(OCC(CC)CCCC)c4s3)c2C1=O
6.67,0.86,10.68,0.72,5.23,3.43,1.8,0.94,PBDTBDD,CCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1
8.55,0.9,13.58,0.7,5.05,3.3,1.73,0.83,PBQ-4,CCCCCCCCOc1ccc(-c2nc3c(-c4ccc(C)s4)c(F)c(F)c(-c4ccc(-c5cc6c(-c7cc(F)c(CC(CC)CCCC)s7)c7sc(C)cc7c(-c7cc(F)c(CC(CC)CCCC)s7)c6s5)s4)c3nc2-c2ccc(OCCCCCCCC)cc2)cc1
5.63,0.64,12.56,0.7,4.66,2.95,1.64,1,PBQ-1,CCCCCCCCOc1ccc(-c2nc3c(-c4ccc(C)s4)ccc(-c4ccc(-c5cc6c(-c7ccc(CC(CC)CCCC)s7)c7sc(C)cc7c(-c7ccc(CC(CC)CCCC)s7)c6s5)s4)c3nc2-c2ccc(OCCCCCCCC)cc2)cc1
6.25,0.76,13.05,0.63,4.86,3.15,1.66,0.9,PBQ-2,CCCCCCCCOc1ccc(-c2nc3c(-c4ccc(C)s4)ccc(-c4ccc(-c5cc6c(-c7cc(F)c(CC(CC)CCCC)s7)c7sc(C)cc7c(-c7cc(F)c(CC(CC)CCCC)s7)c6s5)s4)c3nc2-c2ccc(OCCCCCCCC)cc2)cc1
7.39,0.8,13.6,0.68,4.92,3.21,1.68,0.88,PBQ-3,CCCCCCCCOc1ccc(-c2nc3c(-c4ccc(C)s4)c(F)c(F)c(-c4ccc(-c5cc6c(-c7ccc(CC(CC)CCCC)s7)c7sc(C)cc7c(-c7ccc(CC(CC)CCCC)s7)c6s5)s4)c3nc2-c2ccc(OCCCCCCCC)cc2)cc1
5.93,0.81,12.27,0.62,5.29,3.68,1.61,0.8,PBDTTT-S-T,CCCCCCCCC(CCCCCC)CS(=O)(=O)c1cc2c(C)sc(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)c2s1
7.79,0.73,16.63,0.64,5.21,3.68,1.59,0.86,PDT-S-T,CCCCCCCCC(CCCCCC)CS(=O)(=O)c1cc2c(C)sc(-c3cc4sc5c(-c6ccc(C[C@H](CC)CCCC)s6)c6c(sc7cc(C)sc76)c(-c6ccc(C[C@@H](CC)CCCC)s6)c5c4s3)c2s1
7.48,0.69,16.35,0.66,5.04,3.68,1.59,0.9,PBDTDTTT-S-T,CCCCCCCCC(CCCCCC)CS(=O)(=O)c1cc2c(-c3ccc(C)s3)sc(-c3ccc(-c4cc5c(-c6ccc(C[C@@H](CC)CCCC)s6)c6sc(C)cc6c(-c6ccc(C[C@H](CC)CCCC)s6)c5s4)s3)c2s1
1.71,0.76,5.32,0.42,5.22,3.68,1.67,0.91,PBDTBT,CCCCCCCCC(CCCCCC)COc1c2cc(-c3ccc(C)c4nsnc34)sc2c(OCC(CCCCCC)CCCCCCCC)c2cc(C)sc12
7.4,0.79,13.56,0.69,5.24,3.68,1.72,0.93,PBDTDTBT,CCCCC(CC)COc1c2cc(-c3sc(-c4ccc(-c5cc(CC(CC)CCCC)c(C)s5)c5nsnc45)cc3CC(CC)CCCC)sc2c(OCC(CC)CCCC)c2cc(C)sc12
2.83,0.69,6.5,0.63,5.29,3.84,1.45,0.76,PBDPP-1,CCCCCCCCC(CCCCCC)CN1C(=O)C2=C(c3ccc(-c4cc5c(OC[C@@H](CC)CCCC)c6sc(C)cc6c(OC[C@@H](CC)CCCC)c5s4)s3)N(CC(CCCCCC)CCCCCCCC)C(=O)C2=C1c1ccc(C)s1
4.23,0.73,8.42,0.68,5.29,3.84,1.45,0.72,PBDPP-2,CCCCCCCCC(CCCCCC)CN1C(=O)C2=C(c3ccc(-c4cc5c(-c6ccc(C[C@@H](CC)CCCC)s6)c6sc(C)cc6c(-c6ccc(C[C@@H](CC)CCCC)s6)c5s4)s3)N(CC(CCCCCC)CCCCCCCC)C(=O)C2=C1c1ccc(C)s1
6.18,0.63,16.25,0.6,5.05,3.62,1.43,0.8,PBDPP-3,CCCCCCCCC(CCCCCC)CN1C(=O)C2=C(c3cc4sc(-c5cc6c(-c7ccc(CC(CC)CCCC)s7)c7sc(C)cc7c(-c7ccc(CC(CC)CCCC)s7)c6s5)cc4s3)N(CC(CCCCCC)CCCCCCCC)C(=O)C2=C1c1cc2sc(C)cc2s1
